order_id,order_date,customer_name,state,city,price,profit,quantity,category,sub_category,subcat_cost,subcat_revenue,cost_per_unit
B-25609,2018-04-09,Jitesh,Uttar Pradesh,Lucknow,25.00,-5.00,4,Clothing,Saree,105.00,100.00,26.25
B-25610,2018-04-09,Yogesh,Bihar,Patna,1076.00,-38.00,4,Electronics,Printers,4342.00,4304.00,1085.50
B-25610,2018-04-09,Yogesh,Bihar,Patna,107.00,-54.00,4,Clothing,Stole,482.00,428.00,120.50
B-25610,2018-04-09,Yogesh,Bihar,Patna,68.00,-55.00,5,Electronics,Accessories,395.00,340.00,79.00
B-25610,2018-04-09,Yogesh,Bihar,Patna,781.00,-594.00,6,Electronics,Printers,5280.00,4686.00,880.00
B-25610,2018-04-09,Yogesh,Bihar,Patna,43.00,0.00,3,Clothing,Saree,129.00,129.00,43.00
B-25610,2018-04-09,Yogesh,Bihar,Patna,30.00,-5.00,2,Furniture,Furnishings,65.00,60.00,32.50
B-25611,2018-04-11,Anita,Kerala ,Thiruvananthapuram,160.00,-59.00,2,Clothing,Saree,379.00,320.00,189.50
B-25612,2018-04-12,Shrichand,Punjab,Chandigarh,259.00,-55.00,2,Furniture,Chairs,573.00,518.00,286.50
B-25613,2018-04-12,Mukesh,Haryana,Chandigarh,1603.00,0.00,9,Clothing,Saree,14427.00,14427.00,1603.00
B-25614,2018-04-13,Vandana,Himachal Pradesh,Simla,494.00,54.00,4,Furniture,Bookcases,1922.00,1976.00,480.50
B-25614,2018-04-13,Vandana,Himachal Pradesh,Simla,98.00,-12.00,2,Electronics,Electronic Games,208.00,196.00,104.00
B-25615,2018-04-15,Bhavna,Sikkim,Gangtok,68.00,20.00,5,Clothing,Hankerchief,320.00,340.00,64.00
B-25616,2018-04-15,Kanak,Goa,Goa,42.00,12.00,5,Clothing,Hankerchief,198.00,210.00,39.60
B-25616,2018-04-15,Kanak,Goa,Goa,116.00,-56.00,5,Clothing,Stole,636.00,580.00,127.20
B-25616,2018-04-15,Kanak,Goa,Goa,22.00,-2.00,3,Clothing,Hankerchief,68.01,66.00,22.67
B-25616,2018-04-15,Kanak,Goa,Goa,14.00,-2.00,3,Clothing,Hankerchief,44.01,42.00,14.67
B-25617,2018-04-17,Sagar,Nagaland,Kohima,305.00,-270.00,5,Electronics,Electronic Games,1795.00,1525.00,359.00
B-25619,2018-04-18,Ramesh,Gujarat,Ahmedabad,353.00,90.00,8,Clothing,Saree,2734.00,2824.00,341.75
B-25620,2018-04-20,Sarita,Maharashtra,Pune,193.00,46.00,1,Electronics,Printers,147.00,193.00,147.00
B-25621,2018-04-20,Deepak,Madhya Pradesh,Bhopal,233.00,-10.00,5,Electronics,Electronic Games,1175.00,1165.00,235.00
B-25621,2018-04-20,Deepak,Madhya Pradesh,Bhopal,228.00,63.00,3,Electronics,Electronic Games,621.00,684.00,207.00
B-25621,2018-04-20,Deepak,Madhya Pradesh,Bhopal,333.00,-15.00,3,Electronics,Phones,1014.00,999.00,338.00
B-25622,2018-04-22,Monisha,Rajasthan,Jaipur,534.00,0.00,3,Clothing,Saree,1602.00,1602.00,534.00
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,53.00,1.00,4,Clothing,Stole,211.00,212.00,52.75
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,158.00,69.00,3,Clothing,Stole,405.00,474.00,135.00
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,149.00,-87.00,4,Clothing,Saree,683.00,596.00,170.75
B-25623,2018-04-22,Atharv,West Bengal,Kolkata,105.00,20.00,2,Clothing,Stole,190.00,210.00,95.00
B-25624,2018-04-22,Vini,Karnataka,Bangalore,26.00,12.00,3,Clothing,Hankerchief,66.00,78.00,22.00
B-25625,2018-04-23,Pinky,Jammu and Kashmir,Kashmir,97.00,29.00,2,Clothing,Hankerchief,165.00,194.00,82.50
B-25625,2018-04-23,Pinky,Jammu and Kashmir,Kashmir,59.00,30.00,3,Clothing,Leggings,147.00,177.00,49.00
B-25625,2018-04-23,Pinky,Jammu and Kashmir,Kashmir,635.00,-349.00,5,Clothing,Saree,3524.00,3175.00,704.80
B-25626,2018-04-23,Bhishm,Maharashtra,Mumbai,46.00,-14.00,1,Electronics,Phones,60.00,46.00,60.00
B-25626,2018-04-23,Bhishm,Maharashtra,Mumbai,1103.00,-276.00,3,Furniture,Chairs,3585.00,3309.00,1195.00
B-25627,2018-04-23,Hitika,Madhya Pradesh,Indore,55.00,-39.00,4,Clothing,Stole,259.00,220.00,64.75
B-25628,2018-04-24,Pooja,Bihar,Patna,45.00,13.00,4,Clothing,Skirt,167.00,180.00,41.75
B-25628,2018-04-24,Pooja,Bihar,Patna,24.00,-9.00,4,Clothing,Saree,105.00,96.00,26.25
B-25628,2018-04-24,Pooja,Bihar,Patna,35.00,-8.00,2,Furniture,Furnishings,78.00,70.00,39.00
B-25629,2018-04-24,Hemant,Kerala ,Thiruvananthapuram,1560.00,421.00,3,Clothing,Trousers,4259.01,4680.00,1419.67
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,133.00,12.00,5,Clothing,Stole,653.00,665.00,130.60
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,114.00,-39.00,5,Clothing,Kurti,609.00,570.00,121.80
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,143.00,-129.00,2,Electronics,Phones,415.00,286.00,207.50
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,40.00,-7.00,3,Clothing,Stole,126.99,120.00,42.33
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,34.00,-22.00,4,Clothing,T-shirt,158.00,136.00,39.50
B-25630,2018-04-24,Sahil,Punjab,Chandigarh,42.00,-26.00,2,Clothing,Kurti,110.00,84.00,55.00
B-25631,2018-04-24,Ritu,Haryana,Chandigarh,89.00,-89.00,2,Furniture,Furnishings,267.00,178.00,133.50
B-25632,2018-04-25,Manish,Himachal Pradesh,Simla,19.00,-2.00,2,Clothing,Leggings,40.00,38.00,20.00
B-25633,2018-04-26,Amit,Sikkim,Gangtok,249.00,-130.00,4,Electronics,Phones,1126.00,996.00,281.50
B-25633,2018-04-26,Amit,Sikkim,Gangtok,711.00,-8.00,4,Clothing,Saree,2852.00,2844.00,713.00
B-25633,2018-04-26,Amit,Sikkim,Gangtok,496.00,-79.00,2,Clothing,Trousers,1071.00,992.00,535.50
